------------------------------------------------------
Jeu de données : 122 joueurs / 6 rounds
Taille des classes : [29, 11, 35, 15, 32]
------------------------------------------------------

           |  26[0]  27[0]  28[0]  29[0]  44[0]  45[0]  46[0]  47[0]  48[0]  49[0]  50[0]  51[0]  52[0]  53[0]  54[0]  55[0]  56[0]  57[0]  58[0]  59[0]  60[0]  61[0]  62[0]  63[0]  64[0]  65[0]  66[0]  67[0]  68[0]  69[0]  70[0]  71[0]  72[0]  73[0]  74[0]  90[1]  91[1]  92[1]  93[1]  94[1]  95[1]  96[1]  97[1]  98[1]  99[1] 100[1] 101[1] 102[1] 103[1] 104[1] 105[1] 106[1] 107[1] 108[1] 109[1] 110[1] 111[1] 112[1] 113[1] 114[1] 115[1] 116[1] 117[1] 118[1] 119[1] 120[1] 121[1]   0[2]   1[2]   2[2]   3[2]   4[2]   5[2]   6[2]   7[2]   8[2]   9[2]  10[2]  11[2]  12[2]  13[2]  14[2]  15[2]  16[2]  17[2]  18[2]  19[2]  20[2]  21[2]  22[2]  23[2]  24[2]  25[2]  30[2]  31[2]  32[2]  75[3]  76[3]  77[3]  78[3]  79[3]  80[3]  81[3]  82[3]  83[3]  84[3]  85[3]  86[3]  87[3]  88[3]  89[3]  33[4]  34[4]  35[4]  36[4]  37[4]  38[4]  39[4]  40[4]  41[4]  42[4]  43[4]
(B)  82[3] |                                                                           6                                                                                                                                           4                                                                                                 5                                                                                   2                                                                                                               3                                                                                                                                           1                           _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   3
(W)  83[3] |                          4                                                                                                                                                                                                                                                                                                     3                                                                                                               2             5                                                                                                                             1                                                                     6                                  _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   3
(B)  84[3] |                                                                                         4                                                       2                                                                                                               3                           1                           6                                                                                                                                                                                                                                                                                                     5                                                                     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   3
(W)  85[3] |                                                                                                                                                                                                  5                           6                                                                                                                                                         4                                                       1                           3                                                                                   2                                                                                                                                    _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   3
(B)  86[3] |                                                                                                                     4                                                                                                               5                                                       2                                                                                                                                                                       3                                         1                           6                                                                                                                                                         _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   3
(W)  87[3] |                                        1                                                                                                               3                                                                                                                                                         6                           4                                                                                                                                                                                                                                                           2                                                                                          _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                    5                                                              4
(B)  88[3] |                                                             1                                                                                                 2                                                                                                                                           6                           3                                                                                                                                                                                                                                                                                       4             5                                                       _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   3
(W)  89[3] |                                                                    1                                                                                                                             3                                         5             2                                                                     4                                                                                                                                                                                                                                                                                                                   6                                                _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   3
(B)  33[4] |     3                                                                                   6                           2                                                                                                                                           1                                                                                                                                                                       4                                         5                                                                                                                                                                                                                                                                                                                          _      _      _      _      _      _      _      _      _      _      _      2
(W)  34[4] |                                        3                                                                     1             5                                                                                                 2                                                                                                               6                                                                                                               4                                                                                                                                                                                                                                                                                                                                               _      _      _      _      _      _      _      _      _      _      _      2
(B)  35[4] |                                                                                                                                                                                                                       2                                                                                                                                                                                                                                             4                                                       6                                                       1                                                                                                 3                                                                                                 5                    _      _      _      _      _      _      _      _      _      _      _      4
(W)  36[4] |                          3                                                                                                                                           4                                                                                                                                                                                     2             6                                         1                                                                                                                                                                                                                               5                                                                                                                                                         _      _      _      _      _      _      _      _      _      _      _      3
(B)  37[4] |                   5                                                                                                                                                                                                                                                                                                     3                                                       4                                                                                                                                                                                     6                                         1             2                                                                                                                                                                              _      _      _      _      _      _      _      _      _      _      _      3
(W)  38[4] |                                                                                  2                                                                                   1                                                                                                 3             4                                                                                                                             6                                                                                                                                                                                                                 5                                                                                                                                                                       _      _      _      _      _      _      _      _      _      _      _      3
(B)  39[4] |                                                                                                       3                           4                                                                                                                                                         6                                                                                                                                                                                                                                             2             1                                                                                                                                                                       5                                                                            _      _      _      _      _      _      _      _      _      _      _      4
(W)  40[4] |                                                                    3                                                                                   5                                                                     4                                                                                                                             1                                                                                                                                                                                                                 6                                                       2                                                                                                                                                                       _      _      _      _      _      _      _      _      _      _      _      3
(B)  41[4] |                   3                                                                                                               6                                                                                                                                                                                                                               1                                         5                                                                                                                                                         2                                                                                                 4                                                                                                                                    _      _      _      _      _      _      _      _      _      _      _      3
(W)  42[4] |                                        4                           2             6                                                                                                                                                                       3                                                                                                                                                                                                                                                                                                                                                                           1                                                                     5                                                                                                 _      _      _      _      _      _      _      _      _      _      _      4
(B)  43[4] |                                                                                                                                                                                                                                                                                             4                                                       3                                                                                                 1                                                                                                               5                                                                                                 6                           2                                                                                                        _      _      _      _      _      _      _      _      _      _      _      3
